control,carnegie,carnegie_control,fte,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i38,i39,i40,i41,i42,i43,i44,i45,i46,i47,i48,i49,i50,i51,i52,i53,i54,i55,i56,i57,i58,i59,i61,i62,i63,i64,i66,i67,i68,i69,i70,i71,i72,i73,i74,i75,i76,i77,i78,i79,i80,i81,i82,i83,i84,i85,i86,i87,i88,i89,i91,i92,i93,i95,i96,i97,i98,i99,i100
1,4,4,3,14.5,14.5,7,8,14.5,14.5,14.5,9,1,5,3,6,14.5,4,10,2,14.5,14.5,2,0,0,3,0,3,3,2,0,3,2,2,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,3,2,0,2,2,0,0,2,0,0,0,2,3,2,5,3,0,5,2,2,2,2,2,2,2,0,3,2,2,0,2,0,2,0,0,2,0,0,0,0,0,5,0,0,NA,2,2,0,0,0,0
1,6,6,5,8,7,3,4,9,14.5,10,6,2,1,14.5,14.5,14.5,14.5,14.5,14.5,5,14.5,2,0,3,5,0,0,3,3,3,5,0,5,0,0,3,0,2,2,5,0,2,0,2,2,0,2,0,2,0,0,3,3,3,0,3,3,2,3,3,2,2,5,2,5,5,2,5,5,2,2,5,0,2,3,2,2,5,3,0,0,3,0,5,NA,2,2,0,0,0,0,0,0,3,0,5,0,0,0
2,2,3,2,1,6,5,14.5,9,3,14.5,14.5,10,14.5,8,2,14.5,14.5,4,14.5,7,14.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,0,2,2,0,0,0,3,5,2,2,3,2,2,3,2,3,3,0,0,5,2,0,0,2,0,2,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2,2,3,2,14.5,1,10,14.5,2,7,6,3,14.5,14.5,4,9,14.5,8,14.5,14.5,14.5,5,0,0,0,0,0,0,0,5,2,0,NA,3,0,0,0,3,0,0,5,5,0,5,0,3,0,0,0,0,2,0,3,3,0,0,2,3,0,0,2,0,2,3,0,3,3,2,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0
2,2,3,2,4,2,14.5,1,5,14.5,6,14.5,3,7,9,8,14.5,14.5,14.5,14.5,10,14.5,2,0,0,0,2,2,0,2,2,0,0,0,0,2,0,0,0,0,NA,0,5,0,0,2,2,2,0,0,2,3,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,6,3,14.5,9,14.5,10,6,14.5,4,14.5,5,2,14.5,8,14.5,3,7,14.5,14.5,1,0,3,2,5,3,2,2,2,3,3,2,3,2,0,2,2,0,2,2,0,0,3,3,3,3,3,2,3,2,2,2,2,3,2,5,2,2,3,3,3,2,NA,0,3,2,2,3,2,2,3,2,3,3,2,0,3,3,3,2,2,3,3,3,2,3,3,3,3,3,0,0,2,2,3,2,3,2,5
1,6,6,5,9,4,3,10,14.5,6,7,14.5,14.5,14.5,1,8,5,2,14.5,14.5,14.5,14.5,0,NA,2,2,3,0,0,0,0,0,0,2,0,2,2,2,2,2,0,0,0,2,3,2,5,2,2,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,5,0,0,2,5,5,2,0,0,2,2,0,0,0,2,0,0,0,2,2,0,2,0,0,0,0,0,2,0,5,0,3,2,0,0,0
2,6,7,4,3,14.5,4,8,14.5,7,2,14.5,14.5,1,14.5,9,14.5,5,14.5,10,14.5,6,3,2,2,2,2,2,3,3,0,2,3,2,2,0,5,2,0,5,3,0,5,3,3,2,2,0,2,3,3,2,3,5,3,0,2,0,2,2,2,3,2,2,0,2,2,2,2,2,2,2,2,0,2,2,3,0,2,3,2,3,2,2,2,0,2,2,0,0,2,2,2,2,2,2,3,2,2,2
2,6,7,4,10,8,14.5,2,7,14.5,14.5,14.5,14.5,6,1,9,14.5,5,14.5,14.5,4,3,0,0,2,3,0,0,3,0,2,0,0,0,0,0,2,0,0,0,5,0,3,0,0,0,NA,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,6,6,5,1,8,5,9,2,14.5,6,14.5,3,4,7,14.5,14.5,14.5,14.5,14.5,10,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,2,NA,NA,NA,NA,2,0,0,3,0,0,2,0,0,3,0,2,0,3,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,0,2,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,6,5,3,2,14.5,9,1,6,4,14.5,14.5,14.5,8,5,7,14.5,10,14.5,14.5,14.5,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,6,6,4,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,0,0,0,2,2,0,0,2,5,0,0,0,0,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,5,5,5,2,2,2,3,2,2,3,5,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,5,0,2,0,5,0,0,0,2,0
2,2,3,1,2,3,14.5,14.5,4,5,7,8,14.5,14.5,14.5,1,14.5,10,14.5,14.5,9,6,2,0,0,5,0,0,3,0,0,0,0,0,0,0,2,0,0,3,2,0,3,2,2,0,0,0,0,0,2,3,3,5,2,0,2,2,0,0,2,0,5,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,2,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,6,6,4,14.5,14.5,14.5,2,14.5,14.5,4,3,10,5,9,14.5,1,14.5,7,14.5,6,8,0,0,5,NA,0,5,3,3,2,3,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,2,0,2,0,3,2
1,6,6,4,14.5,14.5,14.5,7,3,14.5,14.5,14.5,1,10,8,14.5,5,2,6,4,9,14.5,0,2,2,3,3,3,2,3,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,2,3,2,0,NA,2,0,0,0,0,2,2,0,0,3,0,0,2,0,5,2,0,0,2,3,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1,6,6,4,14.5,6,5,14.5,14.5,7,14.5,14.5,14.5,4,1,14.5,14.5,10,3,9,2,8,3,5,0,0,5,5,3,0,0,3,5,3,0,0,0,0,0,0,3,5,2,0,2,3,5,5,0,3,0,0,0,0,0,3,0,0,0,3,0,0,5,5,0,3,5,3,3,0,3,0,0,3,0,3,3,3,3,5,3,5,3,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0
1,4,4,4,14.5,14.5,14.5,10,4,3,2,14.5,7,6,1,9,14.5,14.5,5,8,14.5,14.5,0,2,2,0,2,0,0,0,0,3,5,2,0,0,0,0,0,2,0,0,0,2,0,5,0,2,0,3,5,0,3,2,2,0,2,3,2,0,2,3,5,5,5,5,0,2,0,2,0,2,2,0,2,0,0,3,3,0,2,5,0,3,0,2,5,2,2,0,0,0,2,2,0,0,0,0,2,0
1,4,4,4,14.5,14.5,14.5,14.5,6,3,10,7,14.5,4,9,2,14.5,5,14.5,1,14.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,4,4,5,14.5,4,9,14.5,1,14.5,7,14.5,14.5,14.5,3,14.5,14.5,8,10,2,6,0,0,0,0,2,0,5,3,0,3,0,2,0,2,5,5,0,3,5,5,5,5,3,5,2,0,0,0,5,5,5,5,0,0,0,0,0,0,2,3,5,0,0,5,0,3,2,0,0,0,0,0,3,3,5,3,3,2,5,5,3,3,0,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0
2,6,7,5,14.5,14.5,2,9,14.5,14.5,6,3,14.5,14.5,1,14.5,4,5,7,8,14.5,10,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,2,0,2,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,3,0,NA,0,NA,0,0
2,6,7,5,2,8,14.5,7,4,14.5,1,14.5,14.5,14.5,14.5,14.5,5,14.5,10,6,3,9,0,2,5,0,5,0,0,0,0,5,5,5,0,0,5,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,3,2,2,3,0,0,3,2,2,0,5,0,0,3,0,5,5,2,5,3,0,0,0,0,5,0,5,0,5,0,3,2,3,2,5,2,2,3,5,3,0,0,3,0,0,0,0,2
2,2,3,1,14.5,9,14.5,7,2,5,4,14.5,14.5,14.5,14.5,8,14.5,6,14.5,14.5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,0,5,2,2,2,3,2,2,2,0,0,2,2,2,0,2,3,2,2,0,2,0,2,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,3,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2,2,3,1,14.5,4,14.5,5,6,7,10,14.5,14.5,14.5,1,3,14.5,14.5,14.5,8,9,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,5,0,3,3,2,2,2,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,5,0,0,3,2,2,0,3,0,0,NA,0,0,2,0,0,0,0,0,0,0,0,0
2,6,7,4,3,6,4,9,2,7,10,14.5,14.5,5,14.5,14.5,14.5,14.5,14.5,8,14.5,1,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,NA,0,0,0,5,0,5,0,3,0,2,0,2,2,0,0,0,5,0,0,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,6,7,4,14.5,4,2,6,3,14.5,1,9,14.5,7,10,14.5,14.5,14.5,8,5,14.5,14.5,2,0,0,5,0,2,3,3,0,5,5,5,0,2,0,0,0,0,3,0,0,0,0,0,0,2,2,2,3,5,2,0,0,0,2,2,5,0,3,0,2,3,0,2,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,3,3,0,0,5,0,0,0,0,0,2,0,3,0
2,4,5,3,14.5,8,9,14.5,3,1,2,5,14.5,14.5,4,6,14.5,7,10,14.5,14.5,14.5,5,NA,NA,5,NA,5,NA,NA,NA,0,NA,NA,NA,NA,0,2,NA,0,2,NA,3,2,5,NA,NA,NA,NA,NA,5,5,0,2,NA,NA,0,NA,NA,NA,2,0,5,3,2,2,3,2,0,2,3,0,2,0,2,NA,NA,0,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,7,5,8,10,1,6,14.5,14.5,14.5,14.5,2,14.5,14.5,7,14.5,3,4,14.5,9,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,2,5,5,5,5,5,5,5,5,2,2,3,5,5,3,0,5,3,5,0,0,2,3,5,3,3,NA,3,3,2,3,3,3,3,2,5,5,2,2,2,2,5,2,3,0,0,0,0,5,0,0,0,5,2,0,NA,0,0,0,0,0,0
2,6,7,5,1,3,8,5,2,14.5,14.5,4,14.5,14.5,14.5,10,14.5,6,7,14.5,14.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,7,5,14.5,3,1,14.5,4,14.5,2,6,14.5,5,14.5,7,14.5,8,9,14.5,14.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,5,2,NA,NA,NA,NA,5,5,0,0,2,3,3,0,0,0,3,5,0,5,3,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,3,0,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,6,5,14.5,14.5,5,1,14.5,6,14.5,4,14.5,2,3,14.5,8,10,7,9,14.5,14.5,0,2,2,2,0,0,0,2,5,3,0,2,0,2,2,0,2,0,0,0,0,0,2,3,3,3,0,0,5,5,3,3,3,2,2,0,0,0,5,2,0,0,0,0,0,3,3,2,2,2,0,0,3,0,2,0,0,2,0,3,2,0,0,0,2,0,0,0,3,2,2,0,2,2,0,0,0,0
1,6,6,4,3,14.5,14.5,1,14.5,9,10,14.5,2,14.5,7,5,14.5,8,6,14.5,4,14.5,5,0,0,2,0,3,0,0,0,0,NA,5,0,0,0,0,0,0,5,5,5,0,0,2,2,0,0,2,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
1,4,4,4,6,14.5,9,3,14.5,14.5,4,14.5,10,14.5,14.5,8,14.5,14.5,7,2,5,1,NA,NA,0,2,0,5,0,5,3,0,2,0,NA,0,2,2,2,2,5,0,3,2,0,2,0,2,0,0,3,3,0,0,NA,2,0,2,0,2,0,0,2,2,0,2,2,0,2,0,0,2,0,0,0,2,2,0,0,2,0,2,0,0,0,0,0,2,3,0,5,0,0,NA,0,0,0,0,0,0
1,4,4,4,6,5,14.5,14.5,14.5,3,14.5,14.5,2,1,9,10,14.5,14.5,8,14.5,7,4,5,0,0,3,0,0,3,3,2,0,0,2,0,0,3,3,0,2,3,5,0,0,3,3,0,2,0,0,2,0,2,2,0,3,2,2,0,NA,3,0,NA,2,NA,NA,3,NA,NA,NA,NA,NA,0,2,2,0,0,0,0,0,2,2,0,NA,3,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
1,4,4,3,14.5,7,10,2,8,14.5,14.5,14.5,5,3,14.5,9,14.5,14.5,6,1,4,14.5,3,0,2,2,2,0,2,5,2,0,3,0,0,0,5,0,0,2,3,3,3,2,3,2,3,2,3,0,3,5,2,5,2,2,2,2,2,2,3,0,3,2,2,2,0,0,3,2,0,2,2,0,0,2,2,5,0,2,3,2,3,2,5,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0
1,4,4,3,14.5,9,14.5,5,2,6,3,14.5,14.5,14.5,1,8,14.5,14.5,14.5,4,7,10,0,0,0,2,0,2,0,3,2,0,2,2,0,0,0,3,0,2,3,0,2,2,0,0,0,0,0,0,5,0,2,2,0,0,0,2,2,2,3,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,2,0,0,2,0,2,2,2,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
1,1,1,4,5,2,8,14.5,14.5,9,14.5,14.5,6,1,14.5,7,14.5,14.5,10,3,14.5,4,3,0,2,2,0,3,2,3,0,0,3,5,0,0,3,2,0,3,2,0,5,0,2,0,2,2,3,0,5,3,3,5,2,0,0,5,2,0,3,3,3,2,NA,2,0,2,5,3,0,NA,5,3,2,3,3,2,0,2,0,2,2,0,3,0,3,2,2,0,5,0,0,0,0,0,0,0,2,NA
2,6,7,4,14.5,14.5,8,7,5,14.5,9,14.5,1,14.5,14.5,6,2,4,14.5,14.5,3,10,0,NA,NA,2,NA,NA,NA,NA,0,0,NA,3,NA,NA,3,NA,NA,0,5,0,0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,0,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,4,5,14.5,1,4,14.5,3,14.5,14.5,14.5,2,7,14.5,14.5,14.5,10,6,8,5,9,0,0,0,0,0,3,0,0,5,0,0,2,0,0,2,3,3,0,3,0,5,0,2,2,3,0,0,0,5,5,0,0,0,0,5,2,0,3,5,2,2,5,0,0,5,2,2,2,0,0,0,5,3,0,0,2,0,0,0,2,0,0,3,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0
1,4,4,5,14.5,1,5,14.5,4,14.5,9,14.5,2,7,3,10,14.5,14.5,14.5,14.5,6,8,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,2,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,3,0,0,2,NA,NA,NA,NA,0,2,2,NA,2,NA,2,2,2,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,2,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,7,4,4,8,14.5,3,1,14.5,14.5,14.5,14.5,5,6,2,14.5,14.5,10,14.5,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,0,0,NA,NA,NA,NA,5,0,0,2,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,6,7,4,5,3,14.5,2,4,14.5,14.5,14.5,14.5,1,14.5,7,8,14.5,6,14.5,10,9,5,5,3,5,5,0,5,5,5,5,5,5,5,5,0,0,0,5,0,0,0,0,5,3,5,5,5,3,0,0,0,0,5,NA,3,5,3,5,5,0,5,5,2,5,0,3,5,3,2,3,5,5,3,5,3,0,3,3,3,5,0,3,0,5,0,0,0,0,0,3,3,2,0,2,5,2,3,3
1,4,4,3,1,2,10,3,14.5,14.5,14.5,14.5,9,6,14.5,14.5,14.5,4,14.5,7,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,0,0,0,0,0,2,5,NA,NA,NA,NA,NA,0,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0
1,6,6,5,7,14.5,3,14.5,14.5,1,14.5,5,2,6,14.5,14.5,4,14.5,14.5,14.5,14.5,14.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,6,5,14.5,5,9,6,14.5,8,14.5,4,2,7,3,14.5,10,14.5,1,14.5,14.5,14.5,2,5,3,5,0,0,0,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,6,5,14.5,14.5,9,7,5,14.5,4,2,14.5,8,10,14.5,6,14.5,1,14.5,3,14.5,5,3,0,0,0,0,2,5,0,0,2,5,0,2,0,2,0,0,5,3,0,0,3,2,0,0,0,0,5,0,0,0,2,0,0,2,2,0,0,0,5,5,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,6,6,5,14.5,1,2,5,14.5,14.5,3,4,8,6,14.5,10,14.5,14.5,7,14.5,9,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,3,0,0,0,0,0,0,5,0,5,5,2,0,3,2,3,0,0,0,0,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,6,6,5,14.5,14.5,9,6,14.5,14.5,1,14.5,14.5,3,4,10,7,2,14.5,8,5,14.5,0,0,2,5,3,0,0,0,5,5,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,2,2,0,0,0,2,0,0,2,2,0,5,2,0,0,0,0,0,0,0,0,2,2,5,0,2,0,0,5,0,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
2,6,7,4,8,14.5,5,10,1,14.5,2,14.5,14.5,7,9,14.5,14.5,14.5,6,14.5,4,3,0,0,2,3,NA,0,2,5,5,5,0,5,0,0,0,0,3,0,5,0,5,5,2,0,2,0,5,2,2,2,3,3,3,0,5,5,2,3,0,0,3,2,0,2,0,2,2,2,3,2,3,0,0,5,3,5,3,5,0,5,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0
2,2,3,2,14.5,14.5,14.5,14.5,14.5,8,10,14.5,9,5,1,3,14.5,6,4,2,7,14.5,5,0,0,5,0,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,3,NA,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,NA,0,0,0,2,0,2,0,5,2,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0
2,2,3,2,10,14.5,6,2,14.5,5,14.5,1,3,14.5,7,4,14.5,14.5,14.5,9,8,14.5,0,0,0,3,0,2,3,2,3,0,0,5,2,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,2,0,3,3,0,0,3,0,0,0,0,0,2,5,0,3,2,2,0,0,0,0,2,0,5,2,2,0,2,3,0,5,2,0,0,2,3,0,0,0,0,0,2,0,5,0,0,0,0,0
2,2,3,1,2,9,5,14.5,6,1,10,14.5,14.5,4,14.5,7,8,14.5,14.5,14.5,3,14.5,0,0,0,0,0,2,0,0,2,5,0,3,0,0,0,0,5,0,3,3,0,0,0,0,2,0,2,2,0,0,2,2,0,2,0,2,0,2,3,2,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,6,6,5,14.5,1,7,4,5,3,2,10,14.5,8,14.5,9,14.5,14.5,14.5,14.5,6,14.5,5,0,0,0,0,5,5,3,3,0,3,0,0,2,0,0,3,0,2,3,0,2,3,3,3,3,5,2,5,0,3,5,3,0,5,5,0,5,3,0,5,5,0,0,0,5,5,5,5,3,2,5,3,3,2,0,0,0,2,0,0,5,0,3,0,0,0,2,3,0,5,2,5,0,0,0,0,2
1,6,6,5,14.5,1,14.5,5,9,14.5,7,14.5,10,2,4,14.5,3,14.5,14.5,8,6,14.5,0,0,2,3,0,0,2,0,3,5,5,0,NA,NA,NA,0,NA,0,0,0,0,0,NA,5,5,2,2,2,5,0,NA,3,NA,0,5,2,2,NA,NA,0,0,0,NA,NA,0,3,NA,NA,NA,NA,0,0,0,2,2,0,NA,3,NA,3,3,NA,0,2,0,NA,NA,0,NA,2,NA,NA,NA,NA,2,NA,5,2
2,2,3,1,14.5,6,9,1,7,14.5,3,14.5,14.5,5,2,8,14.5,14.5,10,14.5,4,14.5,5,0,2,3,2,0,0,2,2,2,0,2,0,0,2,2,2,2,0,5,2,2,0,0,0,0,3,3,3,5,2,3,2,2,2,3,2,3,0,3,2,3,2,3,3,3,3,2,2,3,2,2,3,2,2,2,2,2,2,0,2,2,2,2,0,2,2,3,5,0,2,2,0,0,2,0,2,0
2,6,7,4,14.5,14.5,14.5,4,6,7,14.5,14.5,14.5,2,1,9,10,14.5,8,3,5,14.5,3,0,2,0,0,0,0,5,0,3,5,5,0,0,0,2,0,0,5,3,0,0,2,2,2,2,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,2,3,5,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,2,0,0,0
2,6,7,5,14.5,9,8,2,14.5,14.5,1,3,14.5,4,10,7,14.5,14.5,6,14.5,14.5,5,0,0,5,3,3,0,0,0,5,3,3,5,0,0,0,5,0,0,3,2,0,0,3,2,2,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,3,5,5,0,0,3,0,3,5,0,5,2,0,5,5,5,0,5,5,0,5,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0
2,6,7,3,1,14.5,7,9,14.5,6,8,14.5,4,14.5,14.5,14.5,3,14.5,14.5,10,5,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,5,2,0,5,0,0,0,3,5,0,2,2,0,0,5,0,0,5,3,0,0,0,2,3,0,0,2,2,0,0,2,0,0,2,2,0,3,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2,2,3,2,2,3,8,14.5,1,7,14.5,10,14.5,4,14.5,9,14.5,14.5,14.5,14.5,6,5,3,2,0,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,5,0,2,5,2,3,2,0,0,0,0,2,0,3,3,5,0,2,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,5,3,14.5,3,9,4,8,14.5,10,14.5,14.5,2,14.5,6,14.5,7,14.5,14.5,5,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
